nctid	age	count
NCT00063999	60-60 years	500.0
NCT00063999	>=70 years	227.0
NCT00064025	30-39 years	1.0
NCT00064025	40-49 years	3.0
NCT00064025	50-59 years	28.0
NCT00064025	60-69 years	30.0
NCT00064025	70-79 years	3.0
NCT00064025	80-89 years	3.0
NCT00064298	<=18 years	0.0
NCT00064298	>=65 years	37.0
NCT00064298	between 18 and 65 years	97.0
NCT00064662	<=18 years	0.0
NCT00064662	>=65 years	81.0
NCT00064662	between 18 and 65 years	574.0
NCT00064792	<=18 years	23.0
NCT00064792	>=65 years	0.0
NCT00064792	between 18 and 65 years	0.0
NCT00065156	<= 65 years	48.0
NCT00065156	>65 years	100.0
NCT00065182	18-40	5.0
NCT00065182	41-64	245.0
NCT00065182	>=65	149.0
NCT00065260	<=18 years	12.0
NCT00065260	>=65 years	6.0
NCT00065260	between 18 and 65 years	36.0
NCT00065429	>=18 years	64.0
NCT00065806	<=18 years	174.0
NCT00065806	>=65 years	0.0
NCT00065806	between 18 and 65 years	47.0
NCT00066066	<=18 years	0.0
NCT00066066	>=65 years	14.0
NCT00066066	between 18 and 65 years	132.0
NCT00066365	<=18 years	39.0
NCT00066365	>=65 years	0.0
NCT00066365	between 18 and 65 years	10.0
NCT00066469	<=18 years	54.0
NCT00066469	>=65 years	0.0
NCT00066469	between 18 and 65 years	1.0
NCT00066729	<=18 years	0.0
NCT00066729	>=65 years	2.0
NCT00066729	between 18 and 65 years	7.0
NCT00066963	<=18 years	376.0
NCT00066963	>=65 years	0.0
NCT00066963	between 18 and 65 years	0.0
NCT00067028	<=18 years	0.0
NCT00067028	>=65 years	16.0
NCT00067028	between 18 and 65 years	100.0
NCT00067808	<=18 years	0.0
NCT00067808	>=65 years	65.0
NCT00067808	between 18 and 65 years	59.0
NCT00068107	<=18 years	0.0
NCT00068107	>=65 years	0.0
NCT00068107	between 18 and 65 years	13.0
NCT00068341	<=18 years	0.0
NCT00068341	>=65 years	0.0
NCT00068341	between 18 and 65 years	74.0
NCT00068406	40-49 yearsage of participants	9.0
NCT00068406	<40 yearsage of participants	5.0
NCT00068406	50-59 yearsage of participants	17.0
NCT00068406	60-69 yearsage of participants	13.0
NCT00068406	>=70 yearsage of participants	14.0
NCT00068419	<=18 years	62.0
NCT00068419	>=65 years	0.0
NCT00068419	between 18 and 65 years	8.0
NCT00068718	<=18 years	0.0
NCT00068718	>=65 years	7.0
NCT00068718	between 18 and 65 years	28.0
NCT00069160	<=18 years	0.0
NCT00069160	>=65 years	9.0
NCT00069160	between 18 and 65 years	39.0
NCT00069641	12 to 18 years	29.0
NCT00069641	19 to 25 years	19.0
NCT00069641	5 to 11 years	43.0
NCT00069641	greater than equal to (>=) 26 years	5.0
NCT00070070	<=18 years	0.0
NCT00070070	>=65 years	5.0
NCT00070070	between 18 and 65 years	1.0
NCT00070941	<=18 years	0.0
NCT00070941	>=65 years	20.0
NCT00070941	between 18 and 65 years	9.0
NCT00071058	<=18 years	0.0
NCT00071058	>=65 years	1.0
NCT00071058	between 18 and 65 years	49.0
NCT00071110	<=18 years	0.0
NCT00071110	>=65 years	4.0
NCT00071110	between 18 and 65 years	53.0
NCT00071513	<=18 years	497.0
NCT00071513	>=65 years	0.0
NCT00071513	between 18 and 65 years	0.0
NCT00071890	<=18 years	0.0
NCT00071890	>=65 years	1.0
NCT00071890	between 18 and 65 years	147.0
NCT00072410	<=18 years	0.0
NCT00072410	>=65 years	3.0
NCT00072410	between 18 and 65 years	4.0
NCT00072761	<=18 years	196.0
NCT00072761	>=65 years	0.0
NCT00072761	between 18 and 65 years	0.0
NCT00073021	18 - 64 years	244.0
NCT00073021	>= 65 years	24.0
NCT00073307	<65 years	632.0
NCT00073307	>= 65 years	271.0
NCT00073333	<=18 years	0.0
NCT00073333	>=65 years	1.0
NCT00073333	between 18 and 65 years	105.0
NCT00073918	<=18 years	0.0
NCT00073918	>=65 years	0.0
NCT00073918	between 18 and 65 years	111.0
NCT00073983	<=18 years	3.0
NCT00073983	>=65 years	9.0
NCT00073983	between 18 and 65 years	42.0
