pmid	black	white	nctid	ratio	repetition
25040898	41.0	94.0	NCT00596960	0.43617021276595747	2
27159758	22.0	315.0	NCT00597935	0.06984126984126984	2
24618964	22.0	315.0	NCT00597935	0.06984126984126984	2
22777368	22.0	315.0	NCT00597935	0.06984126984126984	2
22777367	22.0	315.0	NCT00597935	0.06984126984126984	2
19130903	22.0	315.0	NCT00597935	0.06984126984126984	2
20569710	0.0	31.0	NCT00600106	0.0	1
22362859	57.0	157.66666666666666	NCT00600171	0.3615221987315011	2
27501767	1.0	561.0	NCT00600340	0.0017825311942959	2
25268370	1.0	561.0	NCT00600340	0.0017825311942959	2
23312888	1.0	561.0	NCT00600340	0.0017825311942959	2
20825316	41.0	545.0	NCT00600925	0.07522935779816514	2
21822913	11.0	644.0	NCT00601172	0.017080745341614908	2
